age_months,sex,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8
117,1,-1.7196,16.3351,0.10435,11.765,12.716,13.667,14.84,16.335,18.326,21.154,25.605,30.055,33.538,39.158,44.778,50.398
118,1,-1.7271,16.3704,0.10478,11.781,12.735,13.689,14.867,16.37,18.376,21.234,25.758,30.282,33.754,39.437,45.12,50.803
119,1,-1.7341,16.4065,0.10522,11.798,12.755,13.712,14.895,16.406,18.428,21.317,25.915,30.513,33.973,39.72,45.467,51.214
120,1,-1.7407,16.4433,0.10566,11.815,12.775,13.735,14.923,16.443,18.48,21.4,26.073,30.746,34.186,39.994,45.802,51.61
121,1,-1.7468,16.4807,0.10609,11.832,12.796,13.759,14.952,16.481,18.532,21.483,26.231,30.979,34.399,40.267,46.135,52.003
122,1,-1.7525,16.5189,0.10652,11.85,12.817,13.784,14.982,16.519,18.586,21.568,26.391,31.213,34.611,40.539,46.467,52.395
123,1,-1.7578,16.5578,0.10695,11.868,12.838,13.808,15.012,16.558,18.64,21.653,26.552,31.45,34.819,40.804,46.789,52.774
124,1,-1.7626,16.5974,0.10738,11.886,12.86,13.834,15.043,16.597,18.696,21.739,26.714,31.688,35.031,41.075,47.119,53.163
125,1,-1.767,16.6376,0.1078,11.905,12.882,13.86,15.074,16.638,18.751,21.826,26.875,31.925,35.238,41.338,47.438,53.538
126,1,-1.771,16.6786,0.10823,11.924,12.905,13.886,15.106,16.679,18.808,21.914,27.04,32.166,35.446,41.602,47.758,53.914
127,1,-1.7745,16.7203,0.10865,11.943,12.928,13.913,15.139,16.72,18.865,22.002,27.204,32.405,35.651,41.861,48.071,54.281
128,1,-1.7777,16.7628,0.10906,11.964,12.952,13.941,15.172,16.763,18.923,22.09,27.367,32.643,35.854,42.117,48.38,54.643
129,1,-1.7804,16.8059,0.10948,11.984,12.976,13.969,15.206,16.806,18.982,22.18,27.533,32.885,36.058,42.374,48.69,55.006
130,1,-1.7828,16.8497,0.10989,12.004,13.001,13.998,15.241,16.85,19.042,22.271,27.698,33.125,36.257,42.623,48.989,55.355
131,1,-1.7847,16.8941,0.1103,12.025,13.026,14.027,15.276,16.894,19.102,22.362,27.863,33.365,36.454,42.869,49.284,55.699
132,1,-1.7862,16.9392,0.1107,12.046,13.051,14.056,15.312,16.939,19.163,22.452,28.027,33.602,36.653,43.117,49.581,56.045
133,1,-1.7873,16.985,0.1111,12.068,13.077,14.087,15.348,16.985,19.224,22.544,28.192,33.839,36.847,43.358,49.869,56.38
134,1,-1.7881,17.0314,0.1115,12.09,13.103,14.117,15.385,17.031,19.287,22.637,28.357,34.077,37.041,43.598,50.155,56.712
135,1,-1.7884,17.0784,0.11189,12.112,13.13,14.148,15.422,17.078,19.349,22.729,28.52,34.311,37.231,43.832,50.433,57.034
136,1,-1.7884,17.1262,0.11228,12.134,13.157,14.18,15.461,17.126,19.413,22.822,28.684,34.545,37.421,44.066,50.711,57.356
137,1,-1.788,17.1746,0.11266,12.157,13.185,14.212,15.499,17.175,19.477,22.915,28.846,34.776,37.606,44.292,50.978,57.664
138,1,-1.7873,17.2236,0.11304,12.181,13.213,14.245,15.539,17.224,19.542,23.009,29.008,35.006,37.79,44.516,51.242,57.968
139,1,-1.7861,17.2734,0.11342,12.204,13.241,14.278,15.578,17.273,19.607,23.104,29.169,35.235,37.976,44.743,51.51,58.277
140,1,-1.7846,17.324,0.11379,12.228,13.27,14.312,15.619,17.324,19.674,23.199,29.329,35.46,38.156,44.961,51.766,58.571
141,1,-1.7828,17.3752,0.11415,12.253,13.3,14.347,15.66,17.375,19.741,23.293,29.487,35.681,38.335,45.177,52.019,58.861
142,1,-1.7806,17.4272,0.11451,12.278,13.33,14.382,15.702,17.427,19.808,23.389,29.645,35.901,38.51,45.387,52.264,59.141
143,1,-1.778,17.4799,0.11487,12.303,13.36,14.417,15.745,17.48,19.877,23.485,29.802,36.119,38.679,45.588,52.497,59.406
144,1,-1.7751,17.5334,0.11522,12.328,13.391,14.453,15.788,17.533,19.946,23.581,29.957,36.333,38.853,45.796,52.739,59.682
145,1,-1.7719,17.5877,0.11556,12.355,13.422,14.49,15.833,17.588,20.015,23.677,30.11,36.542,39.022,45.997,52.972,59.947
146,1,-1.7684,17.6427,0.1159,12.381,13.454,14.528,15.877,17.643,20.086,23.774,30.262,36.75,39.187,46.192,53.197,60.202
147,1,-1.7645,17.6985,0.11623,12.408,13.487,14.566,15.923,17.698,20.157,23.871,30.412,36.952,39.35,46.384,53.418,60.452
148,1,-1.7604,17.7551,0.11656,12.436,13.52,14.605,15.969,17.755,20.229,23.969,30.561,37.154,39.509,46.57,53.631,60.692
149,1,-1.7559,17.8124,0.11688,12.464,13.554,14.644,16.016,17.812,20.302,24.067,30.708,37.349,39.667,46.755,53.843,60.931
150,1,-1.7511,17.8704,0.1172,12.492,13.588,14.684,16.063,17.87,20.375,24.165,30.854,37.543,39.82,46.932,54.044,61.156
151,1,-1.7461,17.9292,0.11751,12.52,13.622,14.724,16.112,17.929,20.449,24.263,30.998,37.732,39.971,47.107,54.243,61.379
152,1,-1.7408,17.9887,0.11781,12.55,13.658,14.766,16.161,17.989,20.524,24.362,31.138,37.915,40.118,47.276,54.434,61.592
153,1,-1.7352,18.0488,0.11811,12.579,13.693,14.807,16.21,18.049,20.599,24.46,31.278,38.096,40.261,47.439,54.617,61.795
154,1,-1.7293,18.1096,0.11841,12.609,13.729,14.849,16.26,18.11,20.675,24.559,31.417,38.275,40.401,47.598,54.795,61.992
155,1,-1.7232,18.171,0.11869,12.639,13.766,14.892,16.311,18.171,20.751,24.658,31.551,38.444,40.537,47.752,54.967,62.182
156,1,-1.7168,18.233,0.11898,12.669,13.802,14.935,16.362,18.233,20.829,24.757,31.686,38.616,40.671,47.903,55.135,62.367
157,1,-1.7102,18.2955,0.11925,12.7,13.839,14.979,16.414,18.296,20.906,24.856,31.816,38.777,40.801,48.048,55.295,62.542
158,1,-1.7033,18.3586,0.11952,12.731,13.877,15.023,16.466,18.359,20.984,24.954,31.945,38.936,40.927,48.188,55.449,62.71
159,1,-1.6962,18.4221,0.11979,12.762,13.915,15.067,16.519,18.422,21.062,25.053,32.073,39.093,41.049,48.323,55.597,62.871
160,1,-1.6888,18.486,0.12005,12.794,13.953,15.112,16.572,18.486,21.14,25.152,32.197,39.243,41.17,48.456,55.742,63.028
161,1,-1.6811,18.5502,0.1203,12.825,13.991,15.157,16.625,18.55,21.219,25.249,32.317,39.385,41.285,48.581,55.877,63.173
162,1,-1.6732,18.6148,0.12055,12.857,14.029,15.202,16.679,18.615,21.298,25.347,32.436,39.525,41.398,48.704,56.01,63.316
163,1,-1.6651,18.6795,0.12079,12.889,14.068,15.247,16.733,18.68,21.376,25.444,32.551,39.659,41.505,48.818,56.131,63.444
164,1,-1.6568,18.7445,0.12102,12.921,14.107,15.293,16.787,18.744,21.455,25.54,32.663,39.786,41.614,48.936,56.258,63.58
165,1,-1.6482,18.8095,0.12125,12.952,14.145,15.338,16.841,18.81,21.534,25.635,32.772,39.909,41.714,49.041,56.368,63.695
166,1,-1.6394,18.8746,0.12148,12.984,14.184,15.384,16.895,18.875,21.613,25.731,32.88,40.03,41.813,49.145,56.477,63.809
167,1,-1.6304,18.9398,0.1217,13.015,14.222,15.429,16.95,18.94,21.691,25.825,32.985,40.144,41.907,49.243,56.579,63.915
168,1,-1.6211,19.005,0.12191,13.047,14.261,15.475,17.004,19.005,21.77,25.918,33.084,40.25,41.999,49.338,56.677,64.016
169,1,-1.6116,19.0701,0.12212,13.078,14.299,15.521,17.058,19.07,21.848,26.011,33.182,40.353,42.088,49.429,56.77,64.111
170,1,-1.602,19.1351,0.12233,13.109,14.337,15.566,17.113,19.135,21.926,26.103,33.279,40.454,42.177,49.521,56.865,64.209
171,1,-1.5921,19.2,0.12253,13.139,14.375,15.611,17.167,19.2,22.004,26.194,33.371,40.547,42.258,49.602,56.946,64.29
172,1,-1.5821,19.2648,0.12272,13.17,14.414,15.657,17.221,19.265,22.081,26.284,33.459,40.634,42.338,49.682,57.026,64.37
173,1,-1.5719,19.3294,0.12291,13.201,14.451,15.702,17.275,19.329,22.158,26.373,33.546,40.718,42.413,49.756,57.099,64.442
174,1,-1.5615,19.3937,0.1231,13.231,14.489,15.747,17.329,19.394,22.235,26.462,33.631,40.8,42.486,49.827,57.168,64.509
175,1,-1.551,19.4578,0.12328,13.261,14.526,15.791,17.382,19.458,22.311,26.549,33.712,40.875,42.555,49.893,57.231,64.569
176,1,-1.5403,19.5217,0.12346,13.29,14.563,15.836,17.435,19.522,22.387,26.635,33.791,40.948,42.621,49.956,57.291,64.626
177,1,-1.5294,19.5853,0.12363,13.319,14.6,15.88,17.489,19.585,22.462,26.72,33.866,41.013,42.685,50.016,57.347,64.678
