age_months,sex,P50,P75,P85,P90,P95,pct120ofP95,pct130ofP95,pct140ofP95,pct150ofP95,pct160ofP95,pct170ofP95,pct180ofP95,pct190ofP95,pct200ofP95
55.5,1,15.4857,16.3254,16.8418,17.2231,17.8435,21.412188,23.19655,24.9809,26.765249999999998,28.549599999999998,30.333949999999998,32.1183,33.902649999999994,35.687
56.5,1,15.47,16.3155,16.8378,17.2248,17.857,21.428382,23.2141,24.999799999999997,26.7855,28.5712,30.3569,32.1426,33.9283,35.714
57.5,1,15.4555,16.3072,16.8358,17.2288,17.8734,21.448024,23.23542,25.022759999999998,26.8101,28.597440000000002,30.38478,32.17212,33.95946,35.7468
58.5,1,15.4421,16.3004,16.8356,17.2349,17.8925,21.47102,23.26025,25.049499999999995,26.838749999999997,28.628,30.417249999999996,32.2065,33.995749999999994,35.785
59.5,1,15.43,16.2952,16.8373,17.2432,17.9144,21.497279,23.28872,25.08016,26.8716,28.663040000000002,30.45448,32.245920000000005,34.03736,35.8288
60.5,1,15.4191,16.2915,16.8408,17.2534,17.9389,21.52671,23.32057,25.114459999999998,26.90835,28.702240000000003,30.49613,32.29002,34.083909999999996,35.8778
61.5,1,15.4095,16.2893,16.846,17.2657,17.966,21.559226,23.355800000000002,25.1524,26.949,28.745600000000003,30.5422,32.338800000000006,34.1354,35.932
62.5,1,15.401,16.2887,16.853,17.28,17.9956,21.594738,23.394280000000002,25.193839999999998,26.9934,28.79296,30.592519999999997,32.39208,34.19164,35.9912
63.5,1,15.3938,16.2895,16.8617,17.2962,18.0276,21.633163,23.43588,25.238639999999997,27.0414,28.844160000000002,30.646919999999998,32.44968,34.25244,36.0552
64.5,1,15.3878,16.2919,16.8722,17.3144,18.062,21.674417,23.480600000000003,25.2868,27.093000000000004,28.899200000000004,30.7054,32.5116,34.3178,36.124
65.5,1,15.3831,16.2958,16.8843,17.3344,18.0987,21.71842,23.52831,25.33818,27.14805,28.95792,30.76779,32.57766,34.38753,36.1974
66.5,1,15.3795,16.3011,16.8981,17.3562,18.1376,21.765093,23.578879999999998,25.392639999999997,27.2064,29.02016,30.83392,32.64768,34.461439999999996,36.2752
67.5,1,15.3772,16.3079,16.9135,17.3798,18.1786,21.81436,23.63218,25.450039999999998,27.267899999999997,29.08576,30.903619999999997,32.72148,34.539339999999996,36.3572
68.5,1,15.3761,16.3162,16.9305,17.4051,18.2218,21.866146,23.688340000000004,25.51052,27.332700000000003,29.154880000000006,30.97706,32.799240000000005,34.62142,36.4436
69.5,1,15.3762,16.3259,16.9491,17.4322,18.267,21.920378,23.7471,25.5738,27.4005,29.2272,31.0539,32.8806,34.7073,36.534
70.5,1,15.3775,16.337,16.9693,17.4609,18.3142,21.976986,23.80846,25.639879999999998,27.4713,29.30272,31.13414,32.96556,34.79698,36.6284
71.5,1,15.3799,16.3496,16.991,17.4913,18.3633,22.035901,23.87229,25.708619999999996,27.54495,29.38128,31.217609999999997,33.05394,34.890269999999994,36.7266
72.5,1,15.3835,16.3635,17.0142,17.5234,18.4142,22.097055,23.938460000000003,25.77988,27.6213,29.462720000000004,31.30414,33.14556,34.98698,36.8284
73.5,1,15.3883,16.3787,17.0389,17.557,18.467,22.160382,24.007099999999998,25.853799999999996,27.700499999999998,29.5472,31.3939,33.2406,35.0873,36.934
74.5,1,15.3942,16.3954,17.065,17.5921,18.5215,22.225818,24.07795,25.9301,27.782249999999998,29.6344,31.486549999999998,33.3387,35.19085,37.043
75.5,1,15.4013,16.4133,17.0927,17.6288,18.5777,22.2933,24.15101,26.008779999999998,27.86655,29.724320000000002,31.58209,33.43986,35.29763,37.1554
76.5,1,15.4094,16.4326,17.1217,17.667,18.6356,22.362766,24.226280000000003,26.08984,27.953400000000002,29.81696,31.680519999999998,33.54408,35.40764,37.2712
77.5,1,15.4187,16.4531,17.1521,17.7066,18.6951,22.434155,24.303630000000002,26.17314,28.042650000000002,29.91216,31.78167,33.651180000000004,35.52069,37.3902
78.5,1,15.429,16.475,17.1838,17.7476,18.7562,22.507407,24.38306,26.25868,28.1343,30.00992,31.88554,33.761160000000004,35.636779999999995,37.5124
79.5,1,15.4404,16.498,17.2169,17.79,18.8187,22.582465,24.46431,26.346179999999997,28.22805,30.109920000000002,31.991789999999998,33.87366,35.75553,37.6374
80.5,1,15.4529,16.5223,17.2513,17.8338,18.8827,22.65927,24.54751,26.435779999999998,28.32405,30.212320000000002,32.10059,33.98886,35.87713,37.7654
81.5,1,15.4664,16.5478,17.2869,17.8789,18.9481,22.737764,24.632530000000003,26.52734,28.422150000000002,30.31696,32.21177,34.10658,36.00139,37.8962
82.5,1,15.4809,16.5744,17.3238,17.9253,19.0149,22.817893,24.71937,26.62086,28.522350000000003,30.423840000000002,32.32533,34.226820000000004,36.12831,38.0298
83.5,1,15.4964,16.6022,17.3619,17.973,19.083,22.899601,24.8079,26.716199999999997,28.624499999999998,30.532799999999998,32.4411,34.349399999999996,36.25769999999999,38.166
84.5,1,15.5129,16.6311,17.4012,18.0218,19.1524,22.982833,24.898120000000002,26.81336,28.7286,30.64384,32.55908,34.47432,36.389559999999996,38.3048
85.5,1,15.5303,16.6611,17.4417,18.0719,19.2229,23.067535,24.98977,26.912059999999997,28.83435,30.75664,32.67893,34.60122,36.523509999999995,38.4458
86.5,1,15.5488,16.6923,17.4833,18.1231,19.2947,23.153654,25.083109999999998,27.012579999999996,28.94205,30.87152,32.80099,34.73046,36.659929999999996,38.5894
87.5,1,15.5681,16.7244,17.526,18.1755,19.3676,23.241138,25.177880000000002,27.114639999999998,29.0514,30.98816,32.92492,34.86168,36.79844,38.7352
88.5,1,15.5884,16.7576,17.5698,18.2289,19.4416,23.329934,25.27408,27.21824,29.1624,31.10656,33.05072,34.99488,36.93904,38.8832
89.5,1,15.6096,16.7919,17.6146,18.2834,19.5167,23.419991,25.37171,27.32338,29.27505,31.22672,33.17839,35.13006,37.08173,39.0334
90.5,1,15.6317,16.8271,17.6605,18.339,19.5927,23.511258,25.47051,27.42978,29.38905,31.34832,33.30759,35.26686,37.22613,39.1854
91.5,1,15.6547,16.8633,17.7074,18.3955,19.6697,23.603686,25.57061,27.53758,29.50455,31.471519999999998,33.438489999999994,35.40546,37.372429999999994,39.3394
92.5,1,15.6785,16.9004,17.7552,18.4531,19.7477,23.697224,25.67201,27.646779999999996,29.62155,31.59632,33.57109,35.54586,37.52063,39.4954
93.5,1,15.7032,16.9384,17.804,18.5115,19.8265,23.791824,25.77445,27.757099999999998,29.73975,31.7224,33.70505,35.6877,37.67035,39.653
94.5,1,15.7288,16.9774,17.8537,18.5709,19.9062,23.887436,25.878059999999998,27.868679999999998,29.859299999999998,31.849919999999997,33.84054,35.83116,37.82178,39.8124
95.5,1,15.7551,17.0173,17.9043,18.6311,19.9867,23.984014,25.98271,27.981379999999998,29.98005,31.97872,33.97739,35.97606,37.974729999999994,39.9734
96.5,1,15.7823,17.058,17.9558,18.6923,20.0679,24.08151,26.08827,28.09506,30.101850000000002,32.10864,34.11543,36.122220000000006,38.12901,40.1358
97.5,1,15.8103,17.0995,18.0081,18.7542,20.1499,24.179878,26.194869999999998,28.209859999999995,30.224849999999996,32.23984,34.25483,36.269819999999996,38.28480999999999,40.2998
