,sex,age_months,SD0,SD0.5,SD1,SD1.5,SD2,SD2.5,SD3,SD3.5,SD4,SD4.5,SD5
215,1,238.5,22.9563,24.66,26.7799,29.5151,35.7759,41.3912,46.1811,50.5764,54.7452,58.77,62.6968
216,1,239.5,22.9991,24.7097,26.8395,29.59,35.8667,41.4923,46.2911,50.6945,54.871,58.9032,62.8372
217,1,240.0,23.0203,24.7344,26.8693,29.6279,35.9126,41.5434,46.3465,50.7539,54.9343,58.9701,62.9078
218,1,240.5,23.0414,24.759,26.8992,29.666,35.9588,41.5947,46.4022,50.8136,54.9978,59.0373,62.9785
219,2,24.0,16.4234,17.1562,17.9569,18.8355,20.2802,21.5221,22.5815,23.5535,24.4755,25.3657,26.2341
220,2,24.5,16.388,17.1161,17.9127,18.7882,20.2436,21.4976,22.5673,23.5488,24.4797,25.3785,26.2554
221,2,25.5,16.319,17.038,17.827,18.697,20.1742,21.4523,22.5425,23.543,24.4918,25.4079,26.3017
222,2,26.5,16.2521,16.9627,17.7448,18.6103,20.1096,21.4118,22.5227,23.542,24.5088,25.4422,26.3528
223,2,27.5,16.1873,16.8901,17.6661,18.528,20.0498,21.3761,22.5075,23.5457,24.5304,25.4811,26.4086
224,2,28.5,16.1248,16.8203,17.5909,18.4502,19.9946,21.3451,22.4971,23.5541,24.5568,25.5247,26.4691
225,2,29.5,16.0643,16.7532,17.5191,18.3766,19.9441,21.3187,22.4912,23.5672,24.5877,25.5729,26.5341
226,2,30.5,16.0059,16.6888,17.4506,18.3073,19.8982,21.2968,22.4899,23.5847,24.6231,25.6255,26.6036
227,2,31.5,15.9497,16.627,17.3855,18.2422,19.8567,21.2794,22.493,23.6066,24.6629,25.6826,26.6775
228,2,32.5,15.8955,16.5678,17.3236,18.1811,19.8196,21.2663,22.5005,23.6329,24.707,25.744,26.7558
229,2,33.5,15.8434,16.5112,17.2648,18.1241,19.7867,21.2576,22.5122,23.6635,24.7555,25.8097,26.8382
230,2,34.5,15.7933,16.4571,17.2093,18.071,19.7581,21.253,22.5282,23.6983,24.8081,25.8795,26.9249
231,2,35.5,15.7453,16.4056,17.1568,18.0217,19.7337,21.2526,22.5482,23.7371,24.8648,25.9534,27.0156
232,2,36.5,15.6992,16.3566,17.1074,17.9763,19.7133,21.2562,22.5723,23.78,24.9255,26.0314,27.1103
